_id,date_vente,montant,produit,region,timestamp_traitement
680118aa8628d6181352655e,2025-04-17 11:22:06,1588.48,Téléviseur,Pays-Bas,2025-04-17 15:05:14
680118aa8628d6181352655f,2025-04-17 03:06:06,734.66,Téléphone intelligent,Pays-Bas,2025-04-17 15:05:14
680118aa8628d61813526560,2025-04-17 05:49:06,914.61,Console de jeux,Suisse,2025-04-17 15:05:14
680118aa8628d61813526561,2025-04-16 18:30:09,462.75,Appareil photo,Allemagne,2025-04-17 15:05:14
680118aa8628d61813526562,2025-04-17 14:51:09,1730.2,Tablette,Espagne,2025-04-17 15:05:14
680118aa8628d61813526563,2025-04-17 03:03:12,651.85,Téléviseur,Belgique,2025-04-17 15:05:14
680118aa8628d61813526564,2025-04-17 13:27:12,578.95,Appareil photo,France,2025-04-17 15:05:14
680118ac8628d61813526565,2025-04-17 12:25:16,418.85,Téléviseur,France,2025-04-17 15:05:16
680118b18628d61813526566,2025-04-17 08:38:21,70.87,Montre connectée,Royaume-Uni,2025-04-17 15:05:21
680118b18628d61813526567,2025-04-17 01:54:21,1334.79,Montre connectée,Royaume-Uni,2025-04-17 15:05:21
680118b18628d61813526568,2025-04-17 14:19:21,776.29,Ordinateur portable,Pays-Bas,2025-04-17 15:05:21
680118b18628d61813526569,2025-04-16 18:34:21,1155.48,Téléphone intelligent,Portugal,2025-04-17 15:05:21
680118b18628d6181352656a,2025-04-16 21:07:21,710.38,Montre connectée,Autriche,2025-04-17 15:05:21
680118b38628d6181352656b,2025-04-16 23:37:23,94.95,Appareil photo,Autriche,2025-04-17 15:05:23
680118b78628d6181352656c,2025-04-17 12:23:27,1628.84,Téléphone intelligent,Autriche,2025-04-17 15:05:27
680118b78628d6181352656d,2025-04-17 04:37:27,1046.92,Écouteurs sans fil,Espagne,2025-04-17 15:05:27
680118b78628d6181352656e,2025-04-16 23:25:27,194.66,Montre connectée,Italie,2025-04-17 15:05:27
680118b78628d6181352656f,2025-04-17 03:27:27,793.75,Console de jeux,Espagne,2025-04-17 15:05:27
680118b78628d61813526570,2025-04-17 07:01:27,1691.3,Tablette,Allemagne,2025-04-17 15:05:27
680118bb8628d61813526571,2025-04-17 08:55:31,1803.19,Montre connectée,Pays-Bas,2025-04-17 15:05:31
680118bb8628d61813526572,2025-04-17 10:23:31,1932.1,Ordinateur portable,Espagne,2025-04-17 15:05:31
680118bb8628d61813526573,2025-04-17 12:39:31,1436.15,Enceinte Bluetooth,France,2025-04-17 15:05:31
680118bd8628d61813526574,2025-04-16 20:30:33,1563.55,Appareil photo,Pays-Bas,2025-04-17 15:05:33
680118bd8628d61813526575,2025-04-17 03:59:33,1931.94,Écouteurs sans fil,Portugal,2025-04-17 15:05:33
680118bd8628d61813526576,2025-04-16 22:09:33,453.03,Montre connectée,Italie,2025-04-17 15:05:33
680118c18628d61813526577,2025-04-16 20:57:37,1288.48,Montre connectée,Belgique,2025-04-17 15:05:37
